model,kp_min,kp_max,kd_max,pos_min,pos_max,speed_min,speed_max,torque_min,torque_max,current_max,kt
EC_A2806_P2,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-12.0,12.0,10.0,1.35
EC_A2806_P2_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-12.0,12.0,10.0,1.35
EC_A4310_P2,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-30.0,30.0,30.0,1.4
EC_A4310_P2_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-30.0,30.0,30.0,1.4
EC_A4315_P2,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-70.0,70.0,30.0,2.8
EC_A4315_P2_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-70.0,70.0,30.0,2.8
EC_A6408_P2,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-60.0,60.0,60.0,2.35
EC_A6408_P2_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-60.0,60.0,60.0,2.35
EC_A6416_P2,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-120.0,120.0,60.0,2.74
EC_A6416_P2_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-120.0,120.0,60.0,2.74
EC_A8112_P1,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-90.0,90.0,60.0,2.1
EC_A8112_P1_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-90.0,90.0,60.0,2.1
EC_A8116_P1,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-150.0,150.0,70.0,2.35
EC_A8116_P1_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-150.0,150.0,70.0,2.35
EC_A10020_P1_12,0.0,500.0,50.0,-12.5,12.5,-18.0,18.0,-150.0,150.0,70.0,2.5
EC_A10020_P1_12_72V,0.0,500.0,50.0,-12.5,12.5,-30.0,30.0,-150.0,150.0,70.0,2.5
EC_A10020_P1_6,0.0,500.0,50.0,-12.5,12.5,-18.0,18.0,-150.0,150.0,70.0,1.7
EC_A10020_P1_6_72V,0.0,500.0,50.0,-12.5,12.5,-30.0,30.0,-150.0,150.0,70.0,1.7
EC_A13720_P1,0.0,500.0,50.0,-12.5,12.5,-30.0,30.0,-400.0,400.0,300.0,1.65
EC_A13720_P1_72V,0.0,500.0,50.0,-12.5,12.5,-30.0,30.0,-400.0,400.0,300.0,1.65
EC_A13715_P1,0.0,500.0,50.0,-12.5,12.5,-18.0,18.0,-320.0,320.0,220.0,2.5
EC_A13715_P1_72V,0.0,500.0,50.0,-12.5,12.5,-30.0,30.0,-320.0,320.0,220.0,2.5
EC_A4310_P2_H,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-30.0,30.0,30.0,1.4
EC_A4310_P2_H_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-30.0,30.0,30.0,1.4
EC_A6408_P2_16H,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-45.0,45.0,30.0,2.15
EC_A6408_P2_16H_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-45.0,45.0,30.0,2.15
EC_A6408_P2_32H,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-60.0,60.0,60.0,2.45
EC_A6408_P2_32H_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-60.0,60.0,60.0,2.45
EC_A6408_P2_32HB,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-60.0,60.0,60.0,2.2
EC_A6408_P2_32HB_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-60.0,60.0,60.0,2.2
EC_A6416_P2_H,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-120.0,120.0,60.0,2.65
EC_A6416_P2_H_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-120.0,120.0,60.0,2.65
EC_A8112_P1_H,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-90.0,90.0,60.0,2.1
EC_A8112_P1_H_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-90.0,90.0,60.0,2.1
EC_A8116_P1_H,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-130.0,130.0,70.0,2.35
EC_A8116_P1_H_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-130.0,130.0,70.0,2.35
EC_A10010_P2,0.0,500.0,50.0,-12.5,12.5,-18.0,18.0,-300.0,300.0,70.0,2.6
EC_A10010_P2_72V,0.0,500.0,50.0,-12.5,12.5,-30.0,30.0,-300.0,300.0,70.0,2.6
EC_A10020_P2,0.0,500.0,50.0,-12.5,12.5,-18.0,18.0,-300.0,300.0,140.0,2.6
EC_A10020_P2_72V,0.0,500.0,50.0,-12.5,12.5,-30.0,30.0,-300.0,300.0,140.0,2.6
EC_A3814_H14,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-60.0,60.0,20.0,4.2
EC_A3814_H14_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-60.0,60.0,20.0,4.2
EC_A5013_H17,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-90.0,90.0,30.0,5.9
EC_A5013_H17_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-90.0,90.0,30.0,5.9
EC_A6013_H20,0.0,500.0,5.0,-12.5,12.5,-18.0,18.0,-130.0,130.0,35.0,5.6
EC_A6013_H20_72V,0.0,500.0,5.0,-12.5,12.5,-30.0,30.0,-130.0,130.0,35.0,5.6
